full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
snarktank/ralph,14525,14525,1482,27,27,2,https://github.com/snarktank/ralph
router-for-me/CLIProxyAPI,23603,23603,3941,67,67,8,https://github.com/router-for-me/CLIProxyAPI
https-deeplearning-ai/sc-claude-code-files,479,479,650,0,0,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
edmund-io/edmunds-claude-code,1385,1385,282,2,2,0,https://github.com/edmund-io/edmunds-claude-code
obra/superpowers,137679,137679,11638,409,409,53,https://github.com/obra/superpowers
wshobson/agents,33085,33085,3605,21,21,6,https://github.com/wshobson/agents
Pimzino/claude-code-spec-workflow,3627,3627,256,3,3,0,https://github.com/Pimzino/claude-code-spec-workflow
guanshan/ClaudeCode,52,52,205,0,0,0,https://github.com/guanshan/ClaudeCode
repowise-dev/claude-code-prompts,811,811,321,10,10,-1,https://github.com/repowise-dev/claude-code-prompts
luyao618/Claude-Code-Source-Study,973,973,419,15,15,4,https://github.com/luyao618/Claude-Code-Source-Study
bfly123/claude_code_bridge,2106,2106,197,1,1,0,https://github.com/bfly123/claude_code_bridge
isboyjc/claude-code,128,128,180,0,0,0,https://github.com/isboyjc/claude-code
Yeachan-Heo/oh-my-claudecode,25135,25135,2315,173,173,21,https://github.com/Yeachan-Heo/oh-my-claudecode
garrytan/gstack,65583,65583,8992,230,230,58,https://github.com/garrytan/gstack
lowcortisolprogrammer/claude-code,169,169,160,0,0,0,https://github.com/lowcortisolprogrammer/claude-code
ghuntley/claude-code-source-code-deobfuscation,964,964,553,0,0,1,https://github.com/ghuntley/claude-code-source-code-deobfuscation
anthropics/claude-plugins-official,16170,16170,1817,32,32,1,https://github.com/anthropics/claude-plugins-official
andrew-kramer-inno/claude-code-source-build,549,549,492,1,1,1,https://github.com/andrew-kramer-inno/claude-code-source-build
carlvellotti/claude-code-pm-course,1764,1764,274,6,6,1,https://github.com/carlvellotti/claude-code-pm-course
feiskyer/claude-code-settings,1420,1420,211,4,4,1,https://github.com/feiskyer/claude-code-settings
luongnv89/claude-howto,21506,21506,2543,299,299,26,https://github.com/luongnv89/claude-howto
alirezarezvani/claude-skills,9785,9785,1202,55,55,7,https://github.com/alirezarezvani/claude-skills
AICoderTudou/claude-code-tudou,427,427,359,1,1,4,https://github.com/AICoderTudou/claude-code-tudou
JrCx7scC/claude-code-source,280,280,410,7,7,3,https://github.com/JrCx7scC/claude-code-source
sugyan/claude-code-webui,1001,1001,231,2,2,-1,https://github.com/sugyan/claude-code-webui
rohitg00/awesome-claude-code-toolkit,1112,1112,310,7,7,4,https://github.com/rohitg00/awesome-claude-code-toolkit
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3011,3011,569,9,9,2,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
siteboon/claudecodeui,9539,9539,1256,8,8,1,https://github.com/siteboon/claudecodeui
centminmod/my-claude-code-setup,2163,2163,217,2,2,0,https://github.com/centminmod/my-claude-code-setup
Hyper66666/claude-code-sourcemap,200,200,451,1,1,1,https://github.com/Hyper66666/claude-code-sourcemap
darcyegb/ClaudeCodeAgents,647,647,58,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
lst97/claude-code-sub-agents,1520,1520,240,1,1,0,https://github.com/lst97/claude-code-sub-agents
